path,filename,video_id,ok_read,sample_rate,channels,duration_s,rms_dbfs,peak_dbfs,silence_ratio,clipping_ratio,keep_auto,reason
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_028.wav,0eDJFB70peE_seg_028.wav,0eDJFB70peE,True,16000,1,3.0,-61.9096,-42.741,0.9999,0.0,False,too_quiet:-61.9dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_029.wav,0eDJFB70peE_seg_029.wav,0eDJFB70peE,True,16000,1,3.0,-63.0594,-47.3864,1.0,0.0,False,too_quiet:-63.1dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_030.wav,0eDJFB70peE_seg_030.wav,0eDJFB70peE,True,16000,1,3.0,-55.0143,-31.331,0.9856,0.0,False,too_quiet:-55.0dBFS;mostly_silence:0.99
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_031.wav,0eDJFB70peE_seg_031.wav,0eDJFB70peE,True,16000,1,3.0,-59.6942,-31.1952,0.999,0.0,False,too_quiet:-59.7dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_032.wav,0eDJFB70peE_seg_032.wav,0eDJFB70peE,True,16000,1,3.0,-61.3008,-34.1583,0.9998,0.0,False,too_quiet:-61.3dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_033.wav,0eDJFB70peE_seg_033.wav,0eDJFB70peE,True,16000,1,3.0,-58.6263,-36.1746,0.9986,0.0,False,too_quiet:-58.6dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_034.wav,0eDJFB70peE_seg_034.wav,0eDJFB70peE,True,16000,1,3.0,-54.0592,-32.7501,0.9866,0.0,False,mostly_silence:0.99
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_035.wav,0eDJFB70peE_seg_035.wav,0eDJFB70peE,True,16000,1,3.0,-51.1867,-26.9449,0.9826,0.0,False,mostly_silence:0.98
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_036.wav,0eDJFB70peE_seg_036.wav,0eDJFB70peE,True,16000,1,3.0,-60.2407,-42.4903,0.9998,0.0,False,too_quiet:-60.2dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_037.wav,0eDJFB70peE_seg_037.wav,0eDJFB70peE,True,16000,1,3.0,-59.2994,-34.024,0.9969,0.0,False,too_quiet:-59.3dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_038.wav,0eDJFB70peE_seg_038.wav,0eDJFB70peE,True,16000,1,3.0,-46.1177,-20.9746,0.9735,0.0,False,mostly_silence:0.97
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_039.wav,0eDJFB70peE_seg_039.wav,0eDJFB70peE,True,16000,1,3.0,-53.9941,-31.9379,0.9891,0.0,False,mostly_silence:0.99
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_040.wav,0eDJFB70peE_seg_040.wav,0eDJFB70peE,True,16000,1,3.0,-59.8566,-46.6152,1.0,0.0,False,too_quiet:-59.9dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_041.wav,0eDJFB70peE_seg_041.wav,0eDJFB70peE,True,16000,1,3.0,-60.5748,-44.7798,1.0,0.0,False,too_quiet:-60.6dBFS;mostly_silence:1.00
