path,filename,video_id,ok_read,sample_rate,channels,duration_s,rms_dbfs,peak_dbfs,silence_ratio,clipping_ratio,keep_auto,reason
data/interim/segmented/normal_speech/7OHCOFFUamQ_seg_030.wav,7OHCOFFUamQ_seg_030.wav,7OHCOFFUamQ,True,16000,1,3.0,-15.0607,-0.6065,0.0789,0.0,True,ok
data/interim/segmented/normal_speech/7OHCOFFUamQ_seg_031.wav,7OHCOFFUamQ_seg_031.wav,7OHCOFFUamQ,True,16000,1,3.0,-15.6942,-0.1427,0.1979,0.0,True,ok
data/interim/segmented/normal_speech/7OHCOFFUamQ_seg_032.wav,7OHCOFFUamQ_seg_032.wav,7OHCOFFUamQ,True,16000,1,3.0,-14.3368,-0.3558,0.2049,0.0,True,ok
data/interim/segmented/normal_speech/7OHCOFFUamQ_seg_033.wav,7OHCOFFUamQ_seg_033.wav,7OHCOFFUamQ,True,16000,1,3.0,-13.791,-0.0572,0.094,0.0,True,ok
data/interim/segmented/normal_speech/7OHCOFFUamQ_seg_034.wav,7OHCOFFUamQ_seg_034.wav,7OHCOFFUamQ,True,16000,1,3.0,-14.6234,-0.1884,0.2012,0.0,True,ok
data/interim/segmented/normal_speech/7OHCOFFUamQ_seg_035.wav,7OHCOFFUamQ_seg_035.wav,7OHCOFFUamQ,True,16000,1,3.0,-13.8836,-0.2384,0.1209,0.0,True,ok
data/interim/segmented/normal_speech/7OHCOFFUamQ_seg_036.wav,7OHCOFFUamQ_seg_036.wav,7OHCOFFUamQ,True,16000,1,3.0,-15.5298,-0.3806,0.159,0.0,True,ok
data/interim/segmented/normal_speech/7OHCOFFUamQ_seg_037.wav,7OHCOFFUamQ_seg_037.wav,7OHCOFFUamQ,True,16000,1,3.0,-16.52,-0.2457,0.1644,0.0,True,ok
data/interim/segmented/normal_speech/7OHCOFFUamQ_seg_038.wav,7OHCOFFUamQ_seg_038.wav,7OHCOFFUamQ,True,16000,1,3.0,-14.4147,-0.2136,0.195,0.0,True,ok
data/interim/segmented/normal_speech/7OHCOFFUamQ_seg_039.wav,7OHCOFFUamQ_seg_039.wav,7OHCOFFUamQ,True,16000,1,3.0,-14.3668,-0.3549,0.165,0.0,True,ok
data/interim/segmented/normal_speech/7OHCOFFUamQ_seg_040.wav,7OHCOFFUamQ_seg_040.wav,7OHCOFFUamQ,True,16000,1,3.0,-15.7639,-0.3555,0.0947,0.0,True,ok
data/interim/segmented/normal_speech/7OHCOFFUamQ_seg_041.wav,7OHCOFFUamQ_seg_041.wav,7OHCOFFUamQ,True,16000,1,3.0,-16.5228,-0.3331,0.1242,0.0,True,ok
data/interim/segmented/normal_speech/7OHCOFFUamQ_seg_042.wav,7OHCOFFUamQ_seg_042.wav,7OHCOFFUamQ,True,16000,1,3.0,-14.9296,-0.5628,0.0923,0.0,True,ok
data/interim/segmented/normal_speech/7OHCOFFUamQ_seg_043.wav,7OHCOFFUamQ_seg_043.wav,7OHCOFFUamQ,True,16000,1,3.0,-18.331,-0.6378,0.1223,0.0,True,ok
data/interim/segmented/normal_speech/7OHCOFFUamQ_seg_044.wav,7OHCOFFUamQ_seg_044.wav,7OHCOFFUamQ,True,16000,1,3.0,-26.436,-8.9364,0.1614,0.0,True,ok
data/interim/segmented/normal_speech/7OHCOFFUamQ_seg_045.wav,7OHCOFFUamQ_seg_045.wav,7OHCOFFUamQ,True,16000,1,3.0,-26.475,-9.1382,0.1446,0.0,True,ok
data/interim/segmented/normal_speech/7OHCOFFUamQ_seg_046.wav,7OHCOFFUamQ_seg_046.wav,7OHCOFFUamQ,True,16000,1,3.0,-17.2215,-0.5295,0.287,0.0,True,ok
data/interim/segmented/normal_speech/7OHCOFFUamQ_seg_047.wav,7OHCOFFUamQ_seg_047.wav,7OHCOFFUamQ,True,16000,1,3.0,-14.6998,-0.4683,0.1163,0.0,True,ok
data/interim/segmented/normal_speech/7OHCOFFUamQ_seg_048.wav,7OHCOFFUamQ_seg_048.wav,7OHCOFFUamQ,True,16000,1,3.0,-15.7354,-0.3804,0.2425,0.0,True,ok
data/interim/segmented/normal_speech/7OHCOFFUamQ_seg_049.wav,7OHCOFFUamQ_seg_049.wav,7OHCOFFUamQ,True,16000,1,3.0,-15.3788,-0.4259,0.2012,0.0,True,ok
data/interim/segmented/normal_speech/7OHCOFFUamQ_seg_050.wav,7OHCOFFUamQ_seg_050.wav,7OHCOFFUamQ,True,16000,1,3.0,-13.673,-0.2788,0.0842,0.0,True,ok
data/interim/segmented/normal_speech/7OHCOFFUamQ_seg_051.wav,7OHCOFFUamQ_seg_051.wav,7OHCOFFUamQ,True,16000,1,3.0,-15.041,-0.3906,0.1936,0.0,True,ok
